"","sex","DVRT","edlevel","lvcert","fathocc","schltype","logDVRT"
"1",1,113,3,0,28,1,4.72738781871234
"2",1,101,1,0,28,9,4.61512051684126
"3",1,110,9,1,69,1,4.70048036579242
"4",1,121,5,0,57,1,4.79579054559674
"5",1,82,4,0,18,2,4.40671924726425
"6",1,85,4,0,28,2,4.44265125649032
"7",1,84,1,0,0,9,4.43081679884331
"8",1,98,2,0,43,2,4.58496747867057
"9",1,92,4,0,33,2,4.52178857704904
"10",1,90,1,0,18,9,4.49980967033027
"11",1,88,4,0,28,2,4.47733681447821
"12",1,84,4,0,18,2,4.43081679884331
"13",1,114,11,1,18,1,4.7361984483945
"14",1,70,4,0,57,2,4.24849524204936
"15",1,109,9,1,40,1,4.69134788222914
"16",1,83,4,0,43,2,4.4188406077966
"17",1,108,4,0,69,2,4.68213122712422
"18",1,95,3,0,43,1,4.55387689160054
"19",1,90,4,0,28,2,4.49980967033027
"20",1,107,9,1,28,1,4.67282883446191
"21",1,86,1,0,18,9,4.45434729625351
"22",1,70,2,0,43,2,4.24849524204936
"23",1,114,9,1,0,1,4.7361984483945
"24",1,117,9,1,42,1,4.76217393479776
"25",1,112,9,1,43,1,4.71849887129509
"26",1,88,11,1,0,1,4.47733681447821
"27",1,106,11,1,42,1,4.66343909411207
"28",1,125,11,1,28,1,4.8283137373023
"29",1,94,9,1,0,1,4.54329478227
"30",1,103,5,0,0,1,4.63472898822964
"31",1,123,9,1,46,1,4.81218435537242
"32",1,100,4,0,35,2,4.60517018598809
"33",1,90,3,0,27,1,4.49980967033027
"34",1,70,4,0,51,2,4.24849524204936
"35",1,90,3,0,46,1,4.49980967033027
"36",1,99,3,0,0,1,4.59511985013459
"37",1,123,3,0,43,1,4.81218435537242
"38",1,127,9,1,43,1,4.84418708645859
"39",1,124,9,1,62,1,4.82028156560504
"40",1,110,6,0,27,2,4.70048036579242
"41",1,94,9,1,43,1,4.54329478227
"42",1,112,9,1,40,1,4.71849887129509
"43",1,123,9,1,35,1,4.81218435537242
"44",1,70,3,0,18,1,4.24849524204936
"45",1,102,4,0,43,2,4.62497281328427
"46",1,126,11,1,27,1,4.83628190695148
"47",1,121,9,1,40,1,4.79579054559674
"48",1,100,2,0,43,2,4.60517018598809
"49",1,85,2,0,31,2,4.44265125649032
"50",1,86,4,0,31,2,4.45434729625351
"51",1,101,2,0,28,2,4.61512051684126
"52",1,91,5,0,40,1,4.51085950651685
"53",1,113,9,1,43,1,4.72738781871234
"54",1,103,4,0,33,2,4.63472898822964
"55",1,117,7,0,18,1,4.76217393479776
"56",1,72,2,0,43,2,4.27666611901606
"57",1,70,1,0,18,9,4.24849524204936
"58",1,112,3,0,18,1,4.71849887129509
"59",1,65,1,0,18,9,4.17438726989564
"60",1,97,5,0,35,1,4.57471097850338
"61",1,100,4,0,43,2,4.60517018598809
"62",1,99,4,0,18,2,4.59511985013459
"63",1,91,2,0,28,2,4.51085950651685
"64",1,107,0,0,43,1,4.67282883446191
"65",1,94,2,0,43,2,4.54329478227
"66",1,104,5,0,36,1,4.64439089914137
"67",1,117,9,1,0,1,4.76217393479776
"68",1,104,5,0,43,1,4.64439089914137
"69",1,115,0,0,66,1,4.74493212836325
"70",2,123,7,0,35,1,4.81218435537242
"71",2,103,5,0,43,1,4.63472898822964
"72",2,109,4,0,43,2,4.69134788222914
"73",2,99,5,0,61,1,4.59511985013459
"74",2,100,11,1,47,1,4.60517018598809
"75",2,100,5,0,62,1,4.60517018598809
"76",2,107,9,1,40,1,4.67282883446191
"77",2,70,1,0,18,9,4.24849524204936
"78",2,91,5,0,30,1,4.51085950651685
"79",2,117,9,1,43,1,4.76217393479776
"80",2,115,9,1,57,1,4.74493212836325
"81",2,93,5,0,43,1,4.53259949315326
"82",2,103,9,1,30,1,4.63472898822964
"83",2,99,5,0,57,1,4.59511985013459
"84",2,115,3,0,36,1,4.74493212836325
"85",2,104,9,1,38,1,4.64439089914137
"86",2,116,5,0,47,1,4.75359019110636
"87",2,94,3,0,51,1,4.54329478227
"88",2,114,11,1,43,1,4.7361984483945
"89",2,113,5,0,18,1,4.72738781871234
"90",2,106,2,0,0,2,4.66343909411207
"91",2,119,9,1,57,1,4.77912349311153
"92",2,114,9,1,48,1,4.7361984483945
"93",2,108,9,1,27,1,4.68213122712422
"94",2,97,3,0,46,1,4.57471097850338
