school,ses,mathach,sector
1224,-1.528,5.876,Public
1224,-0.588,19.708,Public
1224,-0.528,20.349,Public
1224,-0.668,8.781,Public
1224,-0.158,17.898,Public
1224,0.022,4.583,Public
1224,-0.618,-2.832,Public
1224,-0.998,0.523,Public
1224,-0.888,1.527,Public
1224,-0.458,21.521,Public
1224,-1.448,9.475,Public
1224,-0.658,16.057,Public
1224,-0.468,21.178,Public
1224,-0.988,20.178,Public
1224,0.332,20.349,Public
1224,-0.678,20.508,Public
1224,-0.298,19.338,Public
1224,-1.528,4.145,Public
1224,0.042,2.927,Public
1224,-0.078,16.405,Public
1224,0.062,13.653,Public
1224,-0.128,6.558,Public
1224,0.472,9.653,Public
1224,-0.468,3.154,Public
1224,-1.248,4.753,Public
1224,-0.628,21.721,Public
1224,0.832,5.166,Public
1224,-0.568,6.399,Public
1224,-0.258,6.821,Public
1224,-0.138,9.255,Public
1224,-0.478,3.745,Public
1224,-0.948,0.858,Public
1224,0.282,11.542,Public
1224,-0.118,13.255,Public
1224,-0.878,10.557,Public
1224,-0.938,0.868,Public
1224,-0.548,8.296,Public
1224,0.142,-1.688,Public
1224,0.972,2.059,Public
1224,0.372,6.714,Public
1224,-1.658,0.122,Public
1224,-1.068,2.381,Public
1224,-0.248,16.336,Public
1224,-1.398,6.134,Public
1224,0.752,23.584,Public
1224,0.012,14.053,Public
1224,-0.418,2.183,Public
1288,-0.788,7.857,Public
1288,-0.328,10.171,Public
1288,0.472,15.699,Public
1288,0.352,22.919,Public
1288,-1.468,10.664,Public
1288,0.202,13.543,Public
1288,-0.518,18.207,Public
1288,-0.158,5.552,Public
1288,0.042,7.416,Public
1288,0.682,18.792,Public
1288,1.262,1.575,Public
1288,0.152,3.534,Public
1288,-0.678,20.173,Public
1288,0.332,10.772,Public
1288,-0.728,2.619,Public
1288,1.262,21.3,Public
1288,0.612,19.527,Public
1288,0.692,18.402,Public
1288,1.082,20.69,Public
1288,0.222,21.437,Public
1288,0.032,7.519,Public
1288,-0.118,18.397,Public
1288,-0.488,4.617,Public
1288,0.322,23.578,Public
1288,0.592,12.81,Public
1296,-0.148,12.668,Public
1296,-0.858,0.781,Public
1296,-1.568,4.968,Public
1296,-0.898,23.172,Public
1296,-0.288,8.278,Public
1296,-1.088,6.244,Public
1296,-1.388,1.326,Public
1296,-1.148,2.359,Public
1296,-0.558,6.757,Public
1296,-0.698,6.251,Public
1296,0.142,3.404,Public
1296,0.522,22.201,Public
1296,0.732,-1.353,Public
1296,-0.248,-0.014,Public
1296,0.322,5.216,Public
1296,0.052,3.587,Public
1296,-0.028,11.162,Public
1296,-0.898,5.982,Public
1296,-0.818,2.814,Public
1296,-1.408,7.272,Public
1296,-1.258,8.895,Public
1296,-0.608,8.773,Public
1296,1.242,12.176,Public
1296,-0.688,3.052,Public
1296,-0.828,6.834,Public
1296,-0.698,3.255,Public
1296,-0.498,6.355,Public
1296,-0.658,11.589,Public
1296,-0.778,8.08,Public
1296,-0.098,19.822,Public
1296,-1.028,14.239,Public
1296,-0.418,1.17,Public
1296,-0.408,-1.127,Public
1296,0.352,10.84,Public
1296,-1.628,6.778,Public
1296,-0.698,9.449,Public
1296,-0.168,5.995,Public
1296,-0.718,4.765,Public
1296,-1.008,14.399,Public
1296,-0.178,6.588,Public
1296,0.392,11.026,Public
1296,-0.358,7.095,Public
1296,-0.628,12.721,Public
1296,-0.038,5.52,Public
1296,0.972,7.353,Public
1296,0.252,7.095,Public
1296,0.332,9.999,Public
1296,-0.308,10.715,Public
1308,0.422,13.233,Catholic
1308,0.562,13.952,Catholic
1308,-0.058,13.757,Catholic
1308,0.952,13.97,Catholic
1308,0.622,23.434,Catholic
1308,0.832,9.162,Catholic
1308,1.512,23.818,Catholic
1308,0.622,15.998,Catholic
1308,0.332,16.039,Catholic
1308,0.442,24.993,Catholic
1308,0.582,15.657,Catholic
1308,1.102,16.258,Catholic
1308,0.892,10.546,Catholic
1308,0.802,17.615,Catholic
1308,-0.568,21.116,Catholic
1308,0.522,6.493,Catholic
1308,0.102,2.512,Catholic
1308,-0.348,22.393,Catholic
1308,0.552,21.488,Catholic
1308,0.682,22.676,Catholic
1317,0.882,12.862,Catholic
1317,0.932,8.961,Catholic
1317,-0.158,4.756,Catholic
1317,0.362,21.405,Catholic
1317,1.372,20.748,Catholic
1317,0.132,18.362,Catholic
1317,0.132,14.752,Catholic
1317,-0.008,11.29,Catholic
1317,-0.108,10.493,Catholic
1317,0.612,10.956,Catholic
1317,0.482,21.405,Catholic
1317,0.502,23.355,Catholic
1317,0.482,12.283,Catholic
1317,0.472,9.257,Catholic
1317,-0.578,11.502,Catholic
1317,1.152,20.039,Catholic
1317,-0.288,21.405,Catholic
1317,0.942,23.736,Catholic
1317,0.722,11.027,Catholic
1317,-0.108,17.203,Catholic
1317,1.462,10.661,Catholic
1317,-0.028,7.031,Catholic
1317,0.702,13.677,Catholic
1317,0.082,13.373,Catholic
1317,-0.108,10.121,Catholic
1317,0.322,10.394,Catholic
1317,0.302,6.973,Catholic
1317,-0.098,11.064,Catholic
1317,-0.848,11.531,Catholic
1317,-1.248,8.253,Catholic
1317,0.122,7.142,Catholic
1317,0.272,3.22,Catholic
1317,0.582,15.784,Catholic
1317,0.642,17.246,Catholic
1317,0.952,9.337,Catholic
1317,-0.258,15.555,Catholic
1317,0.492,8.382,Catholic
1317,0.992,11.621,Catholic
1317,0.832,4.81,Catholic
1317,-0.068,17.869,Catholic
1317,-0.088,8.057,Catholic
1317,0.972,11.794,Catholic
1317,0.542,18.939,Catholic
1317,0.132,20.261,Catholic
1317,-0.008,10.066,Catholic
1317,0.812,20.236,Catholic
1317,1.122,4.508,Catholic
1317,0.062,18.827,Catholic
1358,0.032,-1.347,Public
1358,-1.088,8.054,Public
1358,0.372,15.655,Public
1358,-0.568,11.648,Public
1358,-0.328,11.629,Public
1358,-0.018,18.687,Public
1358,-1.208,-0.827,Public
1358,-0.098,7.87,Public
1358,0.942,18.115,Public
1358,-1.408,3.792,Public
1358,0.122,11.03,Public
1358,0.362,7.564,Public
1358,-0.708,3.465,Public
1358,0.252,15.038,Public
1358,0.312,10.184,Public
1358,-0.678,2.933,Public
1358,-0.148,8.438,Public
1358,-0.168,7.519,Public
1358,1.092,18.735,Public
1358,0.232,10.19,Public
1358,0.422,16.294,Public
1358,1.282,10.65,Public
1358,-0.248,10.301,Public
1358,0.952,17.811,Public
1358,-0.038,14.646,Public
1358,-0.398,17.191,Public
1358,0.162,8.69,Public
1358,0.682,21.142,Public
1358,-0.668,16.499,Public
1358,-0.038,14.591,Public
1374,0.322,16.663,Public
1374,0.212,-2.155,Public
1374,0.682,0.085,Public
1374,-0.148,18.804,Public
1374,-0.468,2.409,Public
1374,0.842,16.759,Public
1374,0.072,18.948,Public
1374,0.332,10.593,Public
1374,-0.858,15.557,Public
1374,0.902,23.419,Public
1374,1.242,0.333,Public
1374,-0.738,-2.002,Public
1374,0.362,24.041,Public
1374,0.712,-2.657,Public
1374,0.452,7.603,Public
1374,-0.598,5.803,Public
1374,-1.028,3.931,Public
1374,-0.338,8.268,Public
1374,-0.948,1.344,Public
1374,0.292,16.449,Public
1374,-1.218,2.881,Public
1374,0.492,20.93,Public
1374,1.152,22.086,Public
1374,-0.758,7.653,Public
1374,-0.298,8.082,Public
1374,-0.478,5.503,Public
1374,0.192,9.004,Public
1374,-0.738,12.063,Public
1433,0.812,12.907,Catholic
1433,1.332,18.496,Catholic
1433,-0.338,20.323,Catholic
1433,1.082,22.682,Catholic
1433,0.542,14.198,Catholic
1433,0.382,24.044,Catholic
1433,0.592,19.571,Catholic
1433,0.852,22.183,Catholic
1433,-0.368,16.676,Catholic
1433,1.022,23.327,Catholic
1433,0.712,16.394,Catholic
1433,0.272,23.032,Catholic
1433,1.182,18.586,Catholic
1433,-0.588,15.246,Catholic
1433,1.282,20.731,Catholic
1433,0.942,20.447,Catholic
1433,1.512,23.572,Catholic
1433,0.222,17.571,Catholic
1433,0.992,24.993,Catholic
1433,1.362,24.421,Catholic
1433,0.482,11.478,Catholic
1433,1.292,24.812,Catholic
1433,1.072,22.093,Catholic
1433,0.562,18.716,Catholic
1433,-0.218,23.392,Catholic
1433,1.512,15.992,Catholic
1433,0.772,13.254,Catholic
1433,0.952,24.812,Catholic
1433,1.392,22.086,Catholic
1433,1.002,24.479,Catholic
1433,0.932,16.724,Catholic
1433,-0.458,20.628,Catholic
1433,-0.198,14.544,Catholic
1433,0.952,19.033,Catholic
1433,1.072,18.727,Catholic
1436,0.222,24.133,Catholic
1436,-0.078,18.77,Catholic
1436,1.512,21.803,Catholic
1436,0.212,9.561,Catholic
1436,0.792,15.132,Catholic
1436,1.342,22.387,Catholic
1436,0.242,22.578,Catholic
1436,-0.298,18.763,Catholic
1436,-1.038,18.301,Catholic
1436,0.682,15.879,Catholic
1436,0.802,20.424,Catholic
1436,0.952,23.072,Catholic
1436,1.002,13.12,Catholic
1436,1.142,18.844,Catholic
1436,0.482,17.495,Catholic
1436,1.512,15.615,Catholic
1436,0.242,11.001,Catholic
1436,1.222,17.103,Catholic
1436,-0.298,21.56,Catholic
1436,-0.338,19.419,Catholic
1436,1.042,18.471,Catholic
1436,0.672,22.868,Catholic
1436,0.732,14.138,Catholic
1436,0.822,23.271,Catholic
1436,0.362,13.472,Catholic
1436,-0.318,17.465,Catholic
1436,0.682,16.038,Catholic
1436,0.712,22.455,Catholic
1436,0.542,18.984,Catholic
1436,0.252,12.535,Catholic
1436,0.482,16.568,Catholic
1436,-0.028,22.592,Catholic
1436,0.252,16.886,Catholic
1436,0.702,22.985,Catholic
1436,0.212,6.798,Catholic
1436,0.342,5.51,Catholic
1436,1.342,24.479,Catholic
1436,1.512,18.827,Catholic
1436,1.212,20.268,Catholic
1436,1.122,24.993,Catholic
1436,0.272,15.06,Catholic
1436,0.782,20.818,Catholic
1436,-0.018,18.33,Catholic
1436,0.772,18.14,Catholic
1461,0.042,12.962,Public
1461,1.282,24.545,Public
1461,1.122,13.314,Public
1461,1.172,16.929,Public
1461,-1.108,3.796,Public
1461,0.822,14.581,Public
1461,0.482,18.719,Public
1461,0.902,12.595,Public
1461,1.022,17.326,Public
1461,0.602,15.918,Public
1461,1.272,23.088,Public
1461,1.352,18.259,Public
1461,1.422,23.517,Public
1461,-0.108,14.157,Public
1461,-0.358,17.999,Public
1461,1.202,18.858,Public
1461,-0.778,22.183,Public
1461,1.102,24.993,Public
1461,1.012,20.928,Public
1461,1.262,22.461,Public
1461,1.392,18.322,Public
1461,-0.258,2.895,Public
1461,0.932,21.007,Public
1461,1.062,18.471,Public
1461,1.212,24.48,Public
1461,0.982,18.471,Public
1461,0.462,18.831,Public
1461,0.532,18.114,Public
1461,1.062,22.685,Public
1461,0.172,-0.338,Public
1461,0.492,21.09,Public
1461,-0.668,-2.832,Public
1461,1.262,17.483,Public
1462,0.162,1.967,Catholic
1462,-0.758,7.718,Catholic
1462,-0.708,19.043,Catholic
1462,-0.818,20.133,Catholic
1462,-1.918,22.289,Catholic
1462,-0.948,14.277,Catholic
1462,-0.798,10.189,Catholic
1462,-1.458,9.607,Catholic
1462,-0.158,6.125,Catholic
1462,-0.378,23.818,Catholic
1462,-1.068,6.34,Catholic
1462,-0.808,9.437,Catholic
1462,-1.648,8.168,Catholic
1462,-0.288,4.31,Catholic
1462,-0.328,6.986,Catholic
1462,-0.498,21.452,Catholic
1462,-0.158,9.167,Catholic
1462,-0.728,9.625,Catholic
1462,-0.948,0.722,Catholic
1462,-0.728,3.115,Catholic
1462,-1.508,23.066,Catholic
1462,-0.088,4.518,Catholic
1462,-0.638,5.337,Catholic
1462,-0.358,4.103,Catholic
1462,-0.658,15.794,Catholic
1462,-0.958,1.975,Catholic
1462,-1.208,2.693,Catholic
