WNASEQ,LONDD,LATDD,ELEV,totsnopt,annp,Jan_Tmp,Jul_Tmp
1,-107.9333,50.8736,686,78.7869,326,-13.9,18.8
2,-105.267,55.267,369,145.3526,499,-21.3,16.8
3,-102.5086,41.7214,1163,42.6544,450,-4.2,23.3
4,-110.2606,44.2986,2362,255.1009,489,-10.9,14.1
5,-114.15,59.25,880,164.8924,412,-23.9,14.4
6,-120.6667,57.45,900,141.926,451,-17.5,13.8
7,-119.7167,56.7167,1100,183.4187,492,-18.8,13.2
8,-114.6,50.7667,1480,191.5657,606,-11,12.8
9,-122.1667,59.5167,651,144.9015,443,-22.4,15.3
10,-112.1,57.7667,725,151.0778,455,-23.5,15.4
11,-107.0116,44.2944,2665,114.0458,391,-7.5,18.3
12,-107.4667,44.5,2609,107.6758,379,-7.9,18.6
13,-110.6,44.9561,2012,202.3043,474,-9.8,15.9
14,-119.483,56.767,1050,171.4784,477,-19.4,13.3
15,-117.2167,52.2417,2355,833.8076,1195,-13.4,7.9
16,-113.65,48.8,1463,186.1828,541,-7.6,16.2
17,-113.567,48.833,1463,174.0979,521,-7.7,16.2
18,-113.45,48.85,1372,181.2884,534,-7.7,15.5
19,-113.367,48.833,1463,188.7006,540,-7.8,15
20,-113.3,48.85,1585,185.306,530,-7.9,14.8
21,-113.25,48.85,1524,154.1665,484,-8,15.3
22,-113.167,48.767,1433,132.9249,444,-8.1,15.7
23,-113.117,48.717,1524,141.4663,451,-8.1,15.5
24,-113.117,48.55,1433,129.9167,431,-7.7,16
25,-113.017,48.617,1402,116.9217,408,-8,16.1
26,-112.967,48.533,1402,117.3763,410,-7.8,16.2
27,-112.75,48.583,1280,79.7069,355,-8.1,17
28,-112.183,48.733,1098,51.1477,316,-7.4,18.4
29,-111.917,48.75,1037,58.3397,329,-6.9,18.6
30,-111.7,48.75,1037,64.6817,337,-7,19
31,-111.417,48.75,1067,79.5857,365,-7.4,19
32,-111.267,48.883,1250,109.2388,412,-7.8,18.3
33,-111.033,48.883,1341,130.4199,435,-8.2,17.8
34,-110.983,48.95,1037,98.7379,381,-9.1,19
35,-110.883,48.883,1037,100.881,382,-9.2,19.1
36,-110.5,48.883,945,98.4775,351,-10.8,19.3
37,-109.867,48.9,854,82.1201,306,-12.9,19.4
38,-109.617,48.75,823,67.3037,301,-11.8,19.9
39,-108.95,48.867,1067,88.17,356,-10.7,19
40,-108.667,48.867,976,79.9676,342,-10.8,19.3
41,-108.467,48.867,915,75.2781,335,-10.9,19.4
42,-108.133,48.917,854,68.8984,321,-11.9,19.6
43,-107.783,48.833,854,62.5447,317,-12.5,19.8
44,-107.583,48.75,793,54.8039,313,-12.6,19.9
45,-107.283,48.733,854,60.2644,316,-12.8,19.8
46,-107.083,48.8,793,68.9733,321,-13.4,19.7
