yr,mnth,decdate,tas,prc
1850,0,1850.041667,-1.65,3
1850,1,1850.125,-0.27,3
1850,2,1850.208333,-0.481,3
1850,3,1850.291667,-0.725,3
1850,4,1850.375,-0.572,2
1850,5,1850.458333,0.059,2
1850,6,1850.541667,-0.581,3
1850,7,1850.625,-0.3,3
1850,8,1850.708333,-0.245,2
1850,9,1850.791667,-0.303,3
1850,10,1850.875,-0.415,2
1850,11,1850.958333,0.17,3
1851,0,1851.041667,0.46,3
1851,1,1851.125,0.198,3
1851,2,1851.208333,-0.682,3
1851,3,1851.291667,0.303,3
1851,4,1851.375,-0.348,3
1851,5,1851.458333,-0.167,3
1851,6,1851.541667,-0.011,3
1851,7,1851.625,0.33,3
1851,8,1851.708333,-0.003,3
1851,9,1851.791667,0.529,3
1851,10,1851.875,-0.473,3
1851,11,1851.958333,-0.697,3
1852,0,1852.041667,-0.243,3
1852,1,1852.125,0.096,3
1852,2,1852.208333,-0.075,3
1852,3,1852.291667,-0.926,3
1852,4,1852.375,-0.094,3
1852,5,1852.458333,-0.143,3
1852,6,1852.541667,-0.009,3
1852,7,1852.625,-0.395,3
1852,8,1852.708333,-0.212,3
1852,9,1852.791667,-0.738,3
1852,10,1852.875,-0.518,3
1852,11,1852.958333,0.529,3
1853,0,1853.041667,0.065,3
1853,1,1853.125,-0.858,3
1853,2,1853.208333,-1.334,3
1853,3,1853.291667,-0.588,3
1853,4,1853.375,-0.315,3
1853,5,1853.458333,-0.323,3
1853,6,1853.541667,0.26,3
1853,7,1853.625,0.117,3
1853,8,1853.708333,-0.403,3
1853,9,1853.791667,-0.129,3
1853,10,1853.875,-0.353,3
1853,11,1853.958333,-0.79,3
1854,0,1854.041667,-0.27,3
1854,1,1854.125,0.274,3
1854,2,1854.208333,-0.039,3
1854,3,1854.291667,-0.031,3
1854,4,1854.375,0.407,3
1854,5,1854.458333,0.011,3
1854,6,1854.541667,0.523,3
1854,7,1854.625,0.365,3
1854,8,1854.708333,0.156,3
1854,9,1854.791667,0.317,3
1854,10,1854.875,-0.697,3
1854,11,1854.958333,0.091,3
1855,0,1855.041667,0.295,3
1855,1,1855.125,-1.093,3
1855,2,1855.208333,-0.508,3
1855,3,1855.291667,0.455,3
1855,4,1855.375,0.245,3
1855,5,1855.458333,0.131,4
1855,6,1855.541667,0.233,3
1855,7,1855.625,0.176,4
1855,8,1855.708333,-0.219,4
1855,9,1855.791667,0.073,4
1855,10,1855.875,-0.546,4
1855,11,1855.958333,-1.11,4
1856,0,1856.041667,-0.397,4
1856,1,1856.125,-0.507,4
1856,2,1856.208333,-0.719,4
1856,3,1856.291667,0.248,4
1856,4,1856.375,-0.424,4
1856,5,1856.458333,0.239,4
1856,6,1856.541667,-0.317,4
1856,7,1856.625,-0.047,4
1856,8,1856.708333,-0.323,4
1856,9,1856.791667,-0.534,4
1856,10,1856.875,-1.254,4
1856,11,1856.958333,-0.302,4
1857,0,1857.041667,-0.935,4
1857,1,1857.125,0.374,4
1857,2,1857.208333,-0.47,4
1857,3,1857.291667,-0.812,4
1857,4,1857.375,-0.747,4
1857,5,1857.458333,-0.066,4
1857,6,1857.541667,0.099,4
1857,7,1857.625,0.163,4
1857,8,1857.708333,-0.146,4
1857,9,1857.791667,-0.365,4
1857,10,1857.875,-0.561,4
1857,11,1857.958333,0.608,4
1858,0,1858.041667,0.281,4
1858,1,1858.125,-0.966,4
1858,2,1858.208333,-0.45,4
1858,3,1858.291667,-0.25,4
