Time,GNP
1947,1488.9
1947.25,1496.9
1947.5,1500.5
1947.75,1524.3
1948,1546.6
1948.25,1571.1
1948.5,1577.6
1948.75,1580.5
1949,1558.2
1949.25,1553.6
1949.5,1570.7
1949.75,1553.9
1950,1618.4
1950.25,1667.2
1950.5,1733.1
1950.75,1763.9
1951,1782.9
1951.25,1814.9
1951.5,1851.6
1951.75,1855.8
1952,1876.7
1952.25,1878.2
1952.5,1889.9
1952.75,1951.9
1953,1987.4
1953.25,2004.3
1953.5,1990.2
1953.75,1958.6
1954,1949.7
1954.25,1952.6
1954.5,1973.7
1954.75,2014.1
1955,2071.6
1955.25,2104.3
1955.5,2132.4
1955.75,2143.9
1956,2136.4
1956.25,2152.8
1956.5,2150.8
1956.75,2184.1
1957,2198.8
1957.25,2195
1957.5,2215.5
1957.75,2189.2
1958,2131
1958.25,2143.6
1958.5,2190.9
1958.75,2239.7
1959,2286.2
1959.25,2345.5
1959.5,2345.5
1959.75,2354.1
1960,2405.4
1960.25,2393.9
1960.5,2398.9
1960.75,2369.3
1961,2383.7
1961.25,2427.1
1961.5,2467.2
1961.75,2517.5
1962,2561
1962.25,2590.3
1962.5,2615.7
1962.75,2625.1
1963,2654.8
1963.25,2688.2
1963.5,2739.8
1963.75,2760.3
1964,2823.2
1964.25,2855.7
1964.5,2894.7
1964.75,2900.5
1965,2974
1965.25,3014.6
1965.5,3073.6
1965.75,3144.5
1966,3222.6
1966.25,3234.8
1966.5,3254.7
1966.75,3283.7
1967,3313.4
1967.25,3310.7
1967.5,3336.6
1967.75,3360.8
1968,3429.2
1968.25,3488.3
1968.5,3513.4
1968.75,3528.1
1969,3582.2
1969.25,3590.6
1969.5,3610.3
1969.75,3593.3
1970,3589.1
1970.25,3597.4
1970.5,3628.3
1970.75,3587.6
1971,3691.3
1971.25,3712.8
1971.5,3738.4
1971.75,3749.2
1972,3823.4
1972.25,3910
1972.5,3950.7
1972.75,4018.7
1973,4125
1973.25,4168.3
1973.5,4158
1973.75,4192.5
1974,4168.1
1974.25,4176.5
1974.5,4126.5
1974.75,4098
1975,4040.1
1975.25,4075.6
1975.5,4148.4
1975.75,4206.7
1976,4304.2
1976.25,4341.2
1976.5,4362
1976.75,4398.4
1977,4457.6
1977.25,4535.9
1977.5,4616.4
1977.75,4616.6
1978,4636
1978.25,4804.8
1978.5,4854.6
1978.75,4925.8
1979,4939.6
1979.25,4949.3
1979.5,4995.6
1979.75,5011.4
1980,5028.8
1980.25,4922.5
1980.5,4911.3
1980.75,4986.3
1981,5086.4
1981.25,5048.1
1981.5,5110.5
1981.75,5056.8
1982,4969.4
1982.25,4996.9
1982.5,4963.4
1982.75,4964.8
1983,5021.5
1983.25,5142.2
1983.5,5233.9
1983.75,5342
1984,5452.6
1984.25,5544.3
1984.5,5591.1
1984.75,5627.1
1985,5664.3
1985.25,5710.9
1985.5,5788.6
1985.75,5839.6
1986,5887.3
1986.25,5901.9
1986.5,5959
1986.75,5981.7
1987,6027.6
1987.25,6095.8
1987.5,6145.8
1987.75,6254.1
1988,6302
1988.25,6372.8
1988.5,6402
1988.75,6487.4
1989,6565.6
1989.25,6599.7
1989.5,6633.4
1989.75,6663.4
1990,6743.6
1990.25,6760.8
1990.5,6742.6
1990.75,6713.3
1991,6667.4
1991.25,6692.1
1991.5,6704.7
1991.75,6749.4
1992,6811.1
1992.25,6873.8
1992.5,6923.3
1992.75,7015.1
1993,7020.9
1993.25,7056
1993.5,7092.4
1993.75,7182.1
1994,7249.8
1994.25,7346.3
1994.5,7385.1
1994.75,7476
1995,7510.2
1995.25,7528.6
1995.5,7572.3
1995.75,7645.2
1996,7703.1
1996.25,7820.4
1996.5,7853.5
1996.75,7947.9
1997,8025.1
1997.25,8145.6
1997.5,8225.1
1997.75,8276.9
1998,8405.4
1998.25,8448.7
1998.5,8517.6
1998.75,8662
1999,8755.5
1999.25,8801.8
1999.5,8906.4
1999.75,9071.1
2000,9119.7
2000.25,9233
2000.5,9238.2
2000.75,9274
2001,9241.7
2001.25,9224.3
2001.5,9199.8
2001.75,9283.5
2002,9367.5
2002.25,9376.7
2002.5,9477.9
