incidence,area,isolation,quality
1,7.928,3.317,3
0,1.925,7.554,8
1,2.045,5.883,8
0,4.781,5.932,2
0,1.536,5.308,3
1,7.369,4.934,4
1,8.599,2.882,6
0,2.422,8.771,7
1,6.403,6.092,3
1,7.199,6.977,3
0,2.654,7.748,8
1,4.128,4.297,5
0,4.175,8.516,3
1,7.098,3.318,2
0,2.392,9.292,5
1,8.69,5.923,2
1,4.667,4.997,9
1,2.307,2.434,3
1,1.053,6.842,3
0,0.657,6.452,2
1,5.632,2.506,7
1,5.895,6.613,6
0,4.855,9.577,6
1,8.241,6.33,5
1,2.898,6.649,3
1,4.445,5.032,3
1,6.027,2.023,3
0,1.574,5.737,1
0,2.7,5.762,3
0,3.106,6.924,9
0,4.33,7.262,5
1,7.799,3.219,8
0,4.63,9.229,2
1,6.951,5.841,7
0,0.859,9.294,4
1,3.657,2.759,8
0,2.696,8.342,8
0,4.171,8.805,6
1,8.063,2.274,1
0,0.153,5.65,7
1,1.948,5.447,3
1,2.006,5.48,1
1,6.508,4.007,3
1,1.501,5.4,9
1,9.269,5.272,5
1,4.17,4.786,5
0,3.376,5.219,1
0,2.228,7.99,1
0,1.801,8.466,6
1,6.441,3.451,8
