x,y,species
0.078,0.091,blackoak
0.076,0.266,blackoak
0.051,0.225,blackoak
0.015,0.366,blackoak
0.03,0.426,blackoak
0.102,0.474,blackoak
0.135,0.498,blackoak
0.121,0.489,blackoak
0.04,0.596,blackoak
0.065,0.608,blackoak
0.091,0.587,blackoak
0.139,0.627,blackoak
0.146,0.671,blackoak
0.128,0.705,blackoak
0.03,0.665,blackoak
0.064,0.739,blackoak
0.035,0.776,blackoak
0.069,0.769,blackoak
0.091,0.748,blackoak
0.107,0.728,blackoak
0.096,0.767,blackoak
0.079,0.776,blackoak
0.129,0.815,blackoak
0.14,0.839,blackoak
0.04,0.844,blackoak
0.003,0.857,blackoak
0.002,0.858,blackoak
0.001,0.887,blackoak
0.036,0.859,blackoak
0.048,0.883,blackoak
0.053,0.907,blackoak
0.129,0.917,blackoak
0.118,0.975,blackoak
0.061,0.976,blackoak
0.271,0.986,blackoak
0.222,0.921,blackoak
0.158,0.939,blackoak
0.186,0.611,blackoak
0.179,0.495,blackoak
0.249,0.487,blackoak
0.265,0.465,blackoak
0.242,0.557,blackoak
0.195,0.554,blackoak
0.205,0.545,blackoak
0.203,0.514,blackoak
0.166,0.528,blackoak
0.153,0.51,blackoak
0.284,0.32,blackoak
0.233,0.015,blackoak
0.417,0.268,blackoak
0.154,0.08,blackoak
0.287,0.018,blackoak
0.346,0.37,blackoak
0.33,0.367,blackoak
0.289,0.381,blackoak
0.328,0.418,blackoak
0.354,0.469,blackoak
0.311,0.492,blackoak
0.28,0.471,blackoak
0.405,0.497,blackoak
0.351,0.567,blackoak
0.342,0.594,blackoak
0.364,0.587,blackoak
0.383,0.819,blackoak
0.332,0.84,blackoak
0.33,0.869,blackoak
0.36,0.853,blackoak
0.294,0.88,blackoak
0.364,0.886,blackoak
0.371,0.882,blackoak
0.376,0.878,blackoak
0.387,0.869,blackoak
0.386,0.9,blackoak
0.368,0.922,blackoak
0.34,0.975,blackoak
0.327,0.984,blackoak
0.342,0.945,blackoak
0.445,0.977,blackoak
0.453,0.733,blackoak
0.588,0.032,blackoak
0.601,0.003,blackoak
0.606,0.069,blackoak
0.629,0.093,blackoak
0.634,0.155,blackoak
0.669,0.326,blackoak
0.659,0.416,blackoak
0.575,0.36,blackoak
0.633,0.422,blackoak
0.703,0.764,blackoak
0.623,0.873,blackoak
0.629,0.866,blackoak
0.641,0.899,blackoak
0.699,0.932,blackoak
0.713,0.976,blackoak
0.701,0.979,blackoak
0.752,0.864,blackoak
0.737,0.861,blackoak
0.799,0.908,blackoak
0.806,0.897,blackoak
0.828,0.906,blackoak
0.845,0.906,blackoak
0.856,0.894,blackoak
0.848,0.883,blackoak
0.789,0.893,blackoak
0.793,0.977,blackoak
0.734,0.973,blackoak
0.739,0.963,blackoak
0.747,0.979,blackoak
0.749,0.975,blackoak
0.766,0.973,blackoak
0.78,0.946,blackoak
0.735,0.766,blackoak
0.838,0.841,blackoak
0.782,0.629,blackoak
0.804,0.699,blackoak
0.819,0.681,blackoak
0.75,0.693,blackoak
0.766,0.149,blackoak
0.829,0.169,blackoak
0.734,0.063,blackoak
0.795,0.117,blackoak
0.846,0.109,blackoak
0.891,0.105,blackoak
0.91,0.184,blackoak
0.881,0.386,blackoak
0.872,0.864,blackoak
0.86,0.893,blackoak
0.904,0.889,blackoak
0.872,0.925,blackoak
0.926,0.879,blackoak
0.96,0.874,blackoak
0.982,0.918,blackoak
0.968,0.91,blackoak
0.927,0.95,blackoak
0.929,0.961,blackoak
0.069,0.014,hickory
0.049,0.057,hickory
0.094,0.015,hickory
0.106,0.036,hickory
0.13,0.126,hickory
0.081,0.079,hickory
0.027,0.068,hickory
0.027,0.069,hickory
0.034,0.081,hickory
0.066,0.132,hickory
0.04,0.115,hickory
0.031,0.108,hickory
0.04,0.074,hickory
0.041,0.074,hickory
0.039,0.156,hickory
0.023,0.207,hickory
0.098,0.142,hickory
0.084,0.176,hickory
0.053,0.221,hickory
0.035,0.3,hickory
0.036,0.31,hickory
0.05,0.284,hickory
0.027,0.327,hickory
0.108,0.307,hickory
0.134,0.328,hickory
0.143,0.353,hickory
0.128,0.379,hickory
0.105,0.411,hickory
0.129,0.385,hickory
0.036,0.358,hickory
0.03,0.36,hickory
0.028,0.354,hickory
0.031,0.376,hickory
0.03,0.453,hickory
0.068,0.453,hickory
0.075,0.49,hickory
0.047,0.474,hickory
0.023,0.486,hickory
0.069,0.481,hickory
0.076,0.422,hickory
0.082,0.458,hickory
0.089,0.444,hickory
0.107,0.437,hickory
0.146,0.444,hickory
0.089,0.473,hickory
0.078,0.47,hickory
0.084,0.513,hickory
0.11,0.516,hickory
0.132,0.518,hickory
0.122,0.539,hickory
0.124,0.555,hickory
0.124,0.563,hickory
0.103,0.537,hickory
0.091,0.555,hickory
0.118,0.554,hickory
0.027,0.539,hickory
0.079,0.562,hickory
0.025,0.605,hickory
0.026,0.587,hickory
0.03,0.571,hickory
0.039,0.594,hickory
