"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"ATBN-01-0300","08-14-2000",400,"TSUGCAN","Tsuga canadensis",4,600.1,3.97510099,153
"ATBN-01-0303","08-15-2000",1000,"TSUGCAN","Tsuga canadensis",5,896.1,4.70563602,197
"ATBN-01-0304","08-15-2000",1000,"TSUGCAN","Tsuga canadensis",6,947.3,4.44743681,125.3
"ATBN-01-0305","08-15-2000",1000,"TSUGCAN","Tsuga canadensis",4,1027,6.14916992,174.6
"ATBN-01-0306","08-16-2000",1000,"TSUGCAN","Tsuga canadensis",7,450.2,4.1337719,202.5
"ATBN-01-0307","08-16-2000",1000,"TSUGCAN","Tsuga canadensis",3,477,5.58730984,134.2
"ATBN-01-0308","08-16-2000",1000,"TSUGCAN","Tsuga canadensis",5,461.8,4.41563416,31.62
"ATBN-01-0311","09-18-2000",1000,"TSUGCAN","Tsuga canadensis",5,646.7,5.14371109,530.8
"ATBN-01-0313","09-19-2000",1000,"TSUGCAN","Tsuga canadensis",3,1200,4.5200429,346.6
"ATBN-01-0317","09-20-2000",1000,"TSUGCAN","Tsuga canadensis",1,682.7,4.47473812,172
"ATBN-01-0320","09-21-2000",1000,"TSUGCAN","Tsuga canadensis",2,1007,8.11334801,133.4
"ATBN-01-0321","09-21-2000",1000,"TSUGCAN","Tsuga canadensis",3,1063,6.88215303,257.1
"ATBN-01-0323","09-22-2000",1000,"TSUGCAN","Tsuga canadensis",4,941,5.09763908,102
"ATBN-01-0324","09-22-2000",1000,"TSUGCAN","Tsuga canadensis",3,927.7,4.958004,80
"ATBN-01-0401","08-27-2001",1000,"TSUGCAN","Tsuga canadensis",6,1129,6.77596188,80.62
"ATBN-01-0405","08-28-2001",1000,"TSUGCAN","Tsuga canadensis",2,1287,5.35516787,64.03
"ATBN-01-0407","08-29-2001",1000,"TSUGCAN","Tsuga canadensis",4,834.8,5.75439501,10
"ATBN-01-0413","08-30-2001",1000,"TSUGCAN","Tsuga canadensis",3,1435,6.31638908,396.6
"ATBN-01-0415","08-31-2001",1000,"TSUGCAN","Tsuga canadensis",3,675.7,5.40663099,84.85
"ATBN-01-0504","05-10-2002",1000,"TSUGCAN","Tsuga canadensis",4,1482,6.4509058,60.83
"ATBN-01-0512","07-22-2002",1000,"TSUGCAN","Tsuga canadensis",3,500.4,6.98623323,98.49
"ATBN-01-0513","07-22-2002",1000,"TSUGCAN","Tsuga canadensis",5,628.2,5.58941603,20
"ATBN-01-0516","07-23-2002",1000,"TSUGCAN","Tsuga canadensis",6,591.9,14.63,0
"ATBN-01-0518","07-23-2002",600,"TSUGCAN","Tsuga canadensis",5,1509,5.8223362,626.3
"ATBN-01-0526","07-24-2002",1000,"TSUGCAN","Tsuga canadensis",2,903.1,7.21074915,36.06
"ATBN-01-0528","07-24-2002",1000,"TSUGCAN","Tsuga canadensis",5,1444,4.96249819,339.4
"ATBN-01-0529","07-24-2002",1000,"TSUGCAN","Tsuga canadensis",5,1409,4.07326698,240.4
"ATBN-01-0530","07-24-2002",1000,"TSUGCAN","Tsuga canadensis",4,1207,5.55254078,488.4
"ATBN-01-0544","07-26-2002",1000,"TSUGCAN","Tsuga canadensis",4,686.7,4.4099679,36.06
"ATBN-01-0550","07-22-2002",1000,"TSUGCAN","Tsuga canadensis",2,695.8,4.80601501,80
"ATBN-01-0551","08-26-2002",1000,"TSUGCAN","Tsuga canadensis",3,1404,6.86415911,368.8
"ATBN-01-0555","08-27-2002",1000,"TSUGCAN","Tsuga canadensis",5,550.8,4.98604107,374.8
"ATBN-01-0557","08-28-2002",1000,"TSUGCAN","Tsuga canadensis",7,389.4,4.83746576,206.2
