"Year","AP1","AP2","AP3","OP1","OP2","OP3","RUNOFF"
49479.2,231.902,90.932,99.314,104.14,188.722,6.47,43.9690955670137
49504.6,134.112,122.428,132.08,191.77,282.194,10.26,54.77753996822
49530,106.68,95.758,93.218,241.808,309.88,11.35,53.6376755196679
49555.4,116.84,113.284,99.822,282.956,384.81,11.13,55.2047864578266
49580.8,181.61,126.746,123.952,415.036,509.27,22.81,86.8112981158997
49606.2,246.38,143.51,124.714,225.552,207.01,7.41,54.7994292570613
49631.6,127.508,36.83,44.958,344.678,316.23,13.32,52.9850504264358
49657,170.18,188.976,165.354,235.712,245.11,9.8,55.0548042935435
49682.4,266.7,148.59,85.852,538.48,471.17,17.42,75.1653857379122
49707.8,231.14,155.702,103.632,242.57,233.68,8.25,56.7694652527807
49733.2,222.25,132.842,149.86,387.35,375.92,17.48,80.4358400622629
49758.6,205.74,95.758,115.824,229.87,173.99,9.56,45.2265136037877
49784,95.25,37.338,45.212,116.078,154.94,7.65,37.4169017738431
49809.4,257.81,129.286,123.444,226.06,181.61,9,38.8713234101891
49834.8,156.21,89.408,83.82,429.26,374.65,17.68,62.3252910464701
49860.2,323.85,207.518,258.064,425.45,293.37,15.53,71.7020138145734
49885.6,186.69,109.982,123.19,133.35,189.23,8.2,44.2925706132244
49911,285.75,166.624,193.04,213.36,335.28,13.29,63.8891591270227
49936.4,102.87,48.26,50.8,275.59,209.55,12.56,45.8394136913448
49961.8,321.31,168.148,181.356,590.55,431.8,23.66,94.2406848915264
49987.2,118.11,97.536,84.836,180.34,172.72,8.28,49.3376463339495
50012.6,135.89,91.948,117.348,1101.598,631.19,33.07,118.643999092
50038,102.87,50.292,74.676,227.33,285.75,11,59.7707299672471
50063.4,149.86,145.288,137.668,214.63,276.86,10.82,53.1261147323021
50088.8,240.03,122.428,172.466,200.66,193.04,8.06,49.2687356098194
50114.2,87.63,66.802,73.152,375.92,373.38,15.86,74.3392677627525
50139.6,107.95,64.516,59.944,458.47,429.26,16.42,70.8377922625418
50165,200.66,112.268,172.212,292.1,242.57,12.56,62.6730875247268
50190.4,238.252,210.82,246.38,172.72,133.35,4.73,36.2843337549048
50215.8,179.832,111.76,99.06,102.87,110.49,4.6,33.8757012679573
50241.2,302.768,146.812,170.18,642.62,521.97,21.94,91.3294094756299
50266.6,98.552,57.404,78.74,405.638,300.482,13.88,64.836884262412
50292,147.32,78.74,84.836,619.76,486.41,23.78,86.6013230859033
50317.4,68.58,56.388,62.992,228.346,240.03,12.14,56.0827901546843
50342.8,459.232,303.784,330.708,471.17,467.36,19.45,97.6610889515841
50368.2,208.28,126.492,146.304,488.95,581.66,23.86,109.481304925901
50393.6,194.31,134.62,145.796,367.03,334.01,14.42,82.6936796705257
50419,132.588,112.268,102.616,290.83,258.064,13.06,63.0654732950676
50444.4,125.222,82.804,116.332,672.338,389.382,26.46,95.7810422544346
50469.8,152.146,70.104,101.092,121.92,173.99,6.36,49.6392320913189
50495.2,173.482,173.228,131.572,182.88,228.854,9.88,47.7851282550183
50520.6,223.52,128.524,124.968,204.47,243.84,9.58,43.7502026786004
50546,180.34,128.524,153.67,147.32,165.1,8.41,40.3524986217855
