ID,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
1,Boston Allston-Brighton,74,1,-71.13936726,42.36244746,17.8,17.8,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6
2,Boston Allston-Brighton,74,2,-71.15855213,42.35311576,21.7,21.7,3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,391.34,13.27
3,Boston Allston-Brighton,74,3,-71.16848743,42.35060802,22.7,22.7,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48
4,Boston Allston-Brighton,74,4,-71.15616349,42.34381827,22.6,22.6,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67
5,Boston Allston-Brighton,74,5,-71.15580668,42.33731838,25,25,4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,374.56,7.79
6,Boston Allston-Brighton,74,6,-71.1454804,42.35033133,19.9,19.9,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
7,Boston Allston-Brighton,74,7,-71.13429532,42.34911697,20.8,20.8,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19
8,Boston Allston-Brighton,74,8,-71.12495746,42.35823221,16.8,16.8,4.22239,0,18.1,1,0.77,5.803,89,1.9047,24,666,20.2,353.04,14.64
9,Boston Back Bay,75,101,-71.09912506,42.3504352,21.9,21.9,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29
10,Boston Back Bay,75,102,-71.09924241,42.3445644,27.5,27.5,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
11,Boston Back Bay,75,104,-71.0902374,42.34127096,21.9,21.9,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14
12,Boston Back Bay,75,105,-71.08480523,42.34452523,23.1,23.1,13.5222,0,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,131.42,13.33
13,Boston Back Bay,75,107,-71.07967231,42.35059888,50,50,4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26
14,Boston Back Bay,75,108,-71.08310376,42.35392109,50,50,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73
