country,lifeexpectancy,continent
Afghanistan,48.673,AS
Albania,76.918,EE
Algeria,73.131,AF
Angola,51.093,AF
Argentina,75.901,LATAM
Armenia,74.241,EE
Australia,81.907,OC
Austria,80.854,WE
Azerbaijan,70.739,EE
Bahamas,75.62,LATAM
Bahrain,75.057,AF
Bangladesh,68.944,AS
Barbados,76.835,LATAM
Belarus,70.349,EE
Belgium,80.009,WE
Belize,76.072,LATAM
Benin,56.081,AF
Bhutan,67.185,AS
Bolivia,66.618,LATAM
Bosnia and Herzegovina,75.67,EE
Botswana,53.183,AF
Brazil,73.488,LATAM
Brunei,78.005,AS
Bulgaria,73.371,EE
Burkina Faso,55.439,AF
Burundi,50.411,AF
Cambodia,63.125,AS
Cameroon,51.61,AF
Canada,81.012,NORAM
Cape Verde,74.156,AF
Central African Rep.,48.398,AF
Chad,49.553,AF
Chile,79.12,LATAM
China,73.456,AS
Colombia,73.703,LATAM
Comoros,61.061,AF
"Congo, Dem. Rep.",48.397,AF
"Congo, Rep.",57.379,AF
Costa Rica,79.311,LATAM
Cote d'Ivoire,55.377,AF
Croatia,76.64,EE
Cuba,79.143,LATAM
Cyprus,79.591,WE
Czech Rep.,77.685,EE
Denmark,78.826,WE
Djibouti,57.937,AF
Dominican Rep.,73.396,LATAM
Ecuador,75.632,LATAM
Egypt,73.235,AF
El Salvador,72.196,LATAM
Equatorial Guinea,51.088,AF
Eritrea,61.597,AF
Estonia,74.825,EE
Ethiopia,59.274,AF
Fiji,69.245,OC
Finland,79.977,WE
France,81.539,WE
French Polynesia,75.133,OC
Gabon,62.703,AF
Gambia,58.491,AF
Georgia,73.737,EE
Germany,80.414,WE
Ghana,64.228,AF
Greece,79.915,WE
Guam,76.142,OC
Guatemala,71.172,LATAM
Guinea,54.097,AF
Guinea-Bissau,48.132,AF
Guyana,69.927,LATAM
Haiti,62.095,LATAM
Honduras,73.126,LATAM
Hungary,74.414,EE
Iceland,81.804,WE
India,65.438,AS
Indonesia,69.366,AS
Iran,72.974,AS
Iraq,69.042,AS
Ireland,80.557,WE
Israel,81.618,AF
Italy,81.855,WE
Jamaica,73.127,LATAM
Japan,83.394,AS
Jordan,73.403,AF
Kazakhstan,67.017,AS
Kenya,57.134,AF
"Korea, Dem. Rep.",68.846,AS
"Korea, Rep.",80.642,AS
Kuwait,74.576,AS
Kyrgyzstan,67.714,AS
Laos,67.484,AS
Latvia,73.339,EE
Lebanon,72.64,AF
Lesotho,48.196,AF
Liberia,56.786,AF
Libya,74.788,AF
Lithuania,72.231,EE
Luxembourg,79.963,WE
"Macedonia, FYR",74.847,EE
Madagascar,66.718,AF
Malawi,54.21,AF
Malaysia,74.221,AS
Mali,51.444,AF
Malta,79.634,WE
Mauritania,58.582,AF
Mauritius,73.373,AF
Mexico,76.954,LATAM
Moldova,69.317,EE
Mongolia,68.498,AS
Morocco,72.15,AF
Mozambique,50.239,AF
Myanmar,65.193,AS
Namibia,62.465,AF
Nepal,68.795,AS
Netherlands,80.734,WE
New Zealand,80.654,OC
Nicaragua,74.044,LATAM
Niger,54.675,AF
Nigeria,51.879,AF
Norway,81.097,WE
Oman,72.974,AS
Pakistan,65.437,AS
Panama,76.128,LATAM
Papua New Guinea,62.791,OC
Paraguay,72.477,LATAM
Peru,73.99,LATAM
Philippines,68.749,AS
Poland,76.126,EE
Portugal,79.499,WE
Puerto Rico,79.158,LATAM
Qatar,78.371,AS
Romania,73.979,EE
Russia,68.823,EE
Rwanda,55.442,AF
Samoa,72.444,OC
Saudi Arabia,73.911,AS
Senegal,59.318,AF
Serbia and Montenegro,NA,EE
Sierra Leone,47.794,AF
Singapore,81.126,AS
Slovak Republic,75.446,EE
Slovenia,79.341,EE
Solomon Islands,67.852,NORAM
Somalia,51.219,AF
South Africa,52.797,AF
Spain,81.404,WE
Sri Lanka,74.941,AS
Sudan,61.452,AF
Suriname,70.563,LATAM
Swaziland,48.718,AF
Sweden,81.439,WE
Switzerland,82.338,WE
Syria,75.85,AF
Tajikistan,67.529,AS
Tanzania,58.199,AF
Thailand,74.126,AS
Togo,57.062,AF
Trinidad and Tobago,70.124,LATAM
Tunisia,74.515,AF
Turkey,73.979,WE
Turkmenistan,64.986,AS
Uganda,54.116,AF
Ukraine,68.494,EE
United Arab Emirates,76.546,AS
United Kingdom,80.17,WE
United States,78.531,NORAM
Uruguay,77.005,LATAM
Uzbekistan,68.287,AS
Vanuatu,71.017,OC
Venezuela,74.402,LATAM
Vietnam,75.181,AS
"Yemen, Rep.",65.493,AS
Zambia,49.025,AF
Zimbabwe,51.384,AF
