"elevation","landcover"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"low","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"hi","Crop"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"low","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"hi","Forest"
"low","Grass"
"low","Grass"
"low","Grass"
"low","Grass"
"low","Grass"
"low","Grass"
"low","Grass"
"low","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
"hi","Grass"
