"location","species","sample.size","success","failure"
"australia",1,12,1,0
"australia",1,12,1,0
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",3,12,1,0
"australia",3,12,1,0
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",4,12,1,0
"australia",4,12,1,0
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",7,12,1,0
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",8,12,1,0
"australia",8,12,1,0
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",9,12,1,0
"australia",9,12,1,0
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",10,12,1,0
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",12,12,1,0
"australia",12,12,1,0
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",13,12,1,0
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",14,12,1,0
"australia",14,12,1,0
"australia",14,12,1,0
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
