State,Population,Income,Illiteracy,Life.Exp,Murder,HS.Grad,Frost,Area,latitude,longitude
AL,3615,3624,2.1,69.05,15.1,41.3,20,50708,32.799,-86.8073
AK,365,6315,1.5,69.31,11.3,66.7,152,566432,61.385,-152.2683
AZ,2212,4530,1.8,70.55,7.8,58.1,15,113417,33.7712,-111.3877
AR,2110,3378,1.9,70.66,10.1,39.9,65,51945,34.9513,-92.3809
CA,21198,5114,1.1,71.71,10.3,62.6,20,156361,36.17,-119.7462
CO,2541,4884,0.7,72.06,6.8,63.9,166,103766,39.0646,-105.3272
CT,3100,5348,1.1,72.48,3.1,56,139,4862,41.5834,-72.7622
DE,579,4809,0.9,70.06,6.2,54.6,103,1982,39.3498,-75.5148
FL,8277,4815,1.3,70.66,10.7,52.6,11,54090,27.8333,-81.717
GA,4931,4091,2,68.54,13.9,40.6,60,58073,32.9866,-83.6487
HI,868,4963,1.9,73.6,6.2,61.9,0,6425,21.1098,-157.5311
ID,813,4119,0.6,71.87,5.3,59.5,126,82677,44.2394,-114.5103
IL,11197,5107,0.9,70.14,10.3,52.6,127,55748,40.3363,-89.0022
IN,5313,4458,0.7,70.88,7.1,52.9,122,36097,39.8647,-86.2604
IA,2861,4628,0.5,72.56,2.3,59,140,55941,42.0046,-93.214
KS,2280,4669,0.6,72.58,4.5,59.9,114,81787,38.5111,-96.8005
KY,3387,3712,1.6,70.1,10.6,38.5,95,39650,37.669,-84.6514
LA,3806,3545,2.8,68.76,13.2,42.2,12,44930,31.1801,-91.8749
ME,1058,3694,0.7,70.39,2.7,54.7,161,30920,44.6074,-69.3977
MD,4122,5299,0.9,70.22,8.5,52.3,101,9891,39.0724,-76.7902
MA,5814,4755,1.1,71.83,3.3,58.5,103,7826,42.2373,-71.5314
MI,9111,4751,0.9,70.63,11.1,52.8,125,56817,43.3504,-84.5603
MN,3921,4675,0.6,72.96,2.3,57.6,160,79289,45.7326,-93.9196
MS,2341,3098,2.4,68.09,12.5,41,50,47296,32.7673,-89.6812
MO,4767,4254,0.8,70.69,9.3,48.8,108,68995,38.4623,-92.302
MT,746,4347,0.6,70.56,5,59.2,155,145587,46.9048,-110.3261
NE,1544,4508,0.6,72.6,2.9,59.3,139,76483,41.1289,-98.2883
NV,590,5149,0.5,69.03,11.5,65.2,188,109889,38.4199,-117.1219
NH,812,4281,0.7,71.23,3.3,57.6,174,9027,43.4108,-71.5653
NJ,7333,5237,1.1,70.93,5.2,52.5,115,7521,40.314,-74.5089
NM,1144,3601,2.2,70.32,9.7,55.2,120,121412,34.8375,-106.2371
NY,18076,4903,1.4,70.55,10.9,52.7,82,47831,42.1497,-74.9384
NC,5441,3875,1.8,69.21,11.1,38.5,80,48798,35.6411,-79.8431
ND,637,5087,0.8,72.78,1.4,50.3,186,69273,47.5362,-99.793
OH,10735,4561,0.8,70.82,7.4,53.2,124,40975,40.3736,-82.7755
OK,2715,3983,1.1,71.42,6.4,51.6,82,68782,35.5376,-96.9247
OR,2284,4660,0.6,72.13,4.2,60,44,96184,44.5672,-122.1269
PA,11860,4449,1,70.43,6.1,50.2,126,44966,40.5773,-77.264
RI,931,4558,1.3,71.9,2.4,46.4,127,1049,41.6772,-71.5101
SC,2816,3635,2.3,67.96,11.6,37.8,65,30225,33.8191,-80.9066
SD,681,4167,0.5,72.08,1.7,53.3,172,75955,44.2853,-99.4632
TN,4173,3821,1.7,70.11,11,41.8,70,41328,35.7449,-86.7489
TX,12237,4188,2.2,70.9,12.2,47.4,35,262134,31.106,-97.6475
UT,1203,4022,0.6,72.9,4.5,67.3,137,82096,40.1135,-111.8535
VT,472,3907,0.6,71.64,5.5,57.1,168,9267,44.0407,-72.7093
VA,4981,4701,1.4,70.08,9.5,47.8,85,39780,37.768,-78.2057
WA,3559,4864,0.6,71.72,4.3,63.5,32,66570,47.3917,-121.5708
WV,1799,3617,1.4,69.48,6.7,41.6,100,24070,38.468,-80.9696
WI,4589,4468,0.7,72.48,3,54.5,149,54464,44.2563,-89.6385
WY,376,4566,0.6,70.29,6.9,62.9,173,97203,42.7475,-107.2085
