"id","x","y","ppt","elev"
287,2688673.71,1292361.34,18.4,754
292,2692431.71,1289049.34,12.1,516
259,2678226.71,1288974.34,13.8,561
319,2701429.71,1285778.34,12.6,412
257,2676751.71,1283409.34,15.6,419
302,2696965.71,1282408.34,10,423
286,2688732.71,1282354.34,12,401
355,2715701.71,1280348.34,13.1,435
258,2677513.71,1280076.34,12.4,492
375,2723201.71,1279319.34,14.2,517
362,2717971.71,1278149.34,13.6,696
333,2708233.71,1278052.34,13.9,403
284,2688008.71,1277903.34,11.3,400
369,2720255.71,1274838.34,11.8,454
400,2736759.71,1273933.34,12.7,437
335,2709024.71,1273611.34,13.1,466
263,2680537.71,1273417.34,15.3,407
402,2738274.71,1272842.34,11.5,491
314,2700787.71,1272429.34,10.7,463
297,2694038.71,1272380.34,9.6,390
372,2721055.71,1270399.34,10.9,442
152,2616795.71,1270148.34,15.2,383
138,2612286.71,1269067.34,10.7,253
178,2628041.71,1268974.34,21.3,295
187,2630291.71,1268964.34,23.8,300
251,2673805.71,1268944.34,12.4,352
378,2725583.71,1268227.34,14,434
332,2708325.71,1268045.34,12.3,407
129,2609277.71,1267978.34,10.8,273
233,2660302.71,1267804.34,22.5,321
405,2739104.71,1267294.34,10.9,465
393,2731600.71,1267191.34,9,462
352,2715090.71,1266998.34,12.9,573
132,2610761.71,1265742.34,12.3,350
163,2621270.71,1265673.34,16.1,286
365,2719617.71,1264822.34,10.9,496
137,2612254.71,1264619.34,13.3,291
146,2613755.71,1264608.34,14.8,338
148,2615257.71,1264598.34,15.2,306
374,2723384.71,1263753.34,14.2,658
170,2625762.71,1263425.34,26,512
268,2682083.71,1263417.34,14.4,417
212,2643783.71,1262252.34,32.4,363
421,2749700.71,1261895.34,14.4,412
128,2609225.71,1261306.34,13.6,333
145,2613732.71,1261273.34,14.2,409
177,2628005.71,1261190.34,31.5,462
180,2628756.71,1261187.34,33.8,463
398,2735444.71,1260570.34,6.8,555
382,2726428.71,1260454.34,12.8,678
354,2715910.71,1260335.34,12.6,506
342,2710650.71,1260283.34,13.1,550
162,2621238.71,1260113.34,25.3,318
244,2667823.71,1260032.34,18.3,528
341,2710661.71,1259171.34,14.1,560
309,2700140.71,1259080.34,10.4,483
151,2616722.71,1259029.34,15.1,638
267,2682104.71,1258969.34,13.3,423
256,2676844.71,1258947.34,14.7,433
