id,x,y,ppt,elev
287,33874,105361,18.4,754
292,37632,102049,12.1,516
259,23427,101974,13.8,561
319,46630,98778,12.6,412
257,21952,96409,15.6,419
302,42166,95408,10,423
286,33933,95354,12,401
355,60902,93348,13.1,435
258,22714,93076,12.4,492
375,68402,92319,14.2,517
362,63172,91149,13.6,696
333,53434,91052,13.9,403
284,33209,90903,11.3,400
369,65456,87838,11.8,454
400,81960,86933,12.7,437
335,54225,86611,13.1,466
263,25738,86417,15.3,407
402,83475,85842,11.5,491
314,45988,85429,10.7,463
297,39239,85380,9.6,390
372,66256,83399,10.9,442
152,-38004,83148,15.2,383
138,-42513,82067,10.7,253
178,-26758,81974,21.3,295
187,-24508,81964,23.8,300
251,19006,81944,12.4,352
378,70784,81227,14,434
332,53526,81045,12.3,407
129,-45522,80978,10.8,273
233,5503,80804,22.5,321
405,84305,80294,10.9,465
393,76801,80191,9,462
352,60291,79998,12.9,573
132,-44038,78742,12.3,350
163,-33529,78673,16.1,286
365,64818,77822,10.9,496
137,-42545,77619,13.3,291
146,-41044,77608,14.8,338
148,-39542,77598,15.2,306
374,68585,76753,14.2,658
170,-29037,76425,26,512
268,27284,76417,14.4,417
212,-11016,75252,32.4,363
421,94901,74895,14.4,412
128,-45574,74306,13.6,333
145,-41067,74273,14.2,409
177,-26794,74190,31.5,462
180,-26043,74187,33.8,463
398,80645,73570,6.8,555
382,71629,73454,12.8,678
354,61111,73335,12.6,506
342,55851,73283,13.1,550
162,-33561,73113,25.3,318
244,13024,73032,18.3,528
341,55862,72171,14.1,560
309,45341,72080,10.4,483
151,-38077,72029,15.1,638
267,27305,71969,13.3,423
256,22045,71947,14.7,433
207,-14028,71922,33,454
222,-2004,71906,26.6,503
351,60382,71103,13.4,566
136,-42594,70948,15.1,299
173,-28312,70862,32.5,363
240,10774,70804,21.2,369
225,251,70794,28.6,339
134,-43354,69841,10.2,334
181,-25311,69736,33.1,386
248,16790,69706,13.2,459
438,103261,69475,30.3,810
443,107040,68430,24.9,726
428,98769,68285,11.6,930
418,93505,68200,12.5,674
66,-84732,68067,13.5,434
100,-64428,67810,19.6,545
135,-42618,67612,15.3,679
298,40111,67594,9.4,525
273,29582,67532,14.3,427
192,-21560,67497,38,596
201,-17799,67485,33.5,654
167,-30591,66425,28.9,496
266,26579,66406,14.6,450
197,-20059,66380,35,622
433,101815,66113,14.9,1006
55,-92287,65956,10.5,598
395,77743,65746,6.1,633
206,-14797,65252,36.7,642
368,65718,64488,13,690
169,-29097,64194,32.5,561
250,18311,64151,16.4,390
450,111636,64067,15.6,398
427,97339,63814,14,962
349,59710,63313,8.9,738
157,-35877,63119,32,560
415,92088,62617,11.1,825
404,84561,62504,12.6,866
90,-71263,62329,23,912
166,-31367,61982,38.6,586
179,-26097,61956,35.6,762
218,-6524,61902,25.4,388
437,103398,61692,39.2,426
414,89094,61459,11.9,720
161,-33631,60882,40,854
274,30369,60865,7.5,619
394,77816,60187,6.3,904
346,58991,59969,11.8,888
331,53719,59919,11.9,744
308,45436,59849,11.5,542
384,73312,59018,6,843
107,-61512,58883,17.6,421
255,22095,58604,16.3,583
409,86885,58090,13.7,1091
296,39426,57582,10.6,450
168,-29884,57526,33.4,799
196,-20090,57484,30.1,411
120,-49480,56546,26.7,937
261,24364,56389,12.4,668
417,93700,55970,18.5,784
230,1759,55227,21.6,450
390,76383,54608,9.5,820
156,-35931,54224,31,492
403,84689,53610,7.2,942
321,48503,53202,5.8,556
279,31917,53089,7.7,436
200,-18597,53032,32.2,421
219,-3518,53004,22.6,531
426,97523,52695,23.1,1096
334,54545,52142,8.8,838
133,-43485,52051,30.4,529
411,87738,51430,11.8,1251
329,53046,51017,12,863
270,28158,50846,12,489
252,19861,50812,12.7,473
345,58337,49954,6.5,926
307,45513,49842,6.6,500
85,-75197,49033,20.9,942
381,71928,48992,15.2,662
371,66647,48930,9.1,807
106,-61617,48876,20.8,681
124,-47282,48744,25.8,1072
278,31941,48641,12.4,406
242,12324,48568,17.8,466
60,-88794,48109,26.6,982
172,-28425,47511,32.7,412
232,4779,47445,16.5,464
412,88559,46994,11.6,2255
406,85540,46949,17.8,1328
119,-49564,46539,28.8,1026
127,-45799,45396,30.6,468
305,44793,45389,4.5,406
265,26674,45279,7.3,584
431,99917,44950,31.1,435
324,50086,44319,4.8,410
186,-24666,44159,31.1,468
294,38768,43122,6.7,535
276,31216,43078,8.6,609
229,1762,41883,21.2,652
410,87887,41423,14,1113
158,-35257,40876,35,473
430,99992,40503,20.5,436
399,81859,40225,18.4,1040
348,59947,39962,8.6,410
328,52391,39891,5.4,426
211,-11083,39670,19.6,543
72,-82882,39127,19.4,777
272,29728,38622,8.5,728
264,26705,38608,6.3,438
254,21414,38586,6,415
364,64505,37786,11.7,407
338,55434,37694,6.4,473
59,-88961,36991,25.1,832
313,46372,36505,5.8,897
175,-27723,36388,32.2,558
88,-72356,34541,18,708
337,55465,34359,8.2,783
113,-52692,34334,34.9,609
275,31263,34182,13.7,750
228,1765,34100,11.5,519
70,-83716,33578,9.6,1298
376,69848,33399,18.4,423
93,-68588,33384,25.6,451
303,44129,33152,6.5,1012
141,-42112,33137,32.8,502
295,39590,33120,9.4,1041
429,100124,32720,23.5,444
386,74401,32342,11.5,515
312,46407,32057,9.1,895
185,-24717,31927,40,654
340,56253,31030,10.3,900
269,28253,30831,9.3,999
322,49452,29858,7.2,904
43,-103460,29441,28.1,1011
301,41899,27576,11.3,1061
289,35084,27532,8.6,802
188,-23978,27477,32.7,824
253,20697,27464,7,503
34,-110314,27340,22.8,934
140,-42159,26466,37.5,549
164,-33071,26408,44.5,732
40,-107305,26173,26,991
58,-89885,25884,11.9,1033
199,-18685,25234,31.4,890
424,96467,24875,28.2,461
373,68438,24486,14.5,657
174,-27780,24157,37.8,816
189,-23234,24138,42.6,1027
98,-67188,23360,30,514
360,63147,23316,15.5,878
311,46477,23162,9.1,1462
209,-12630,22994,22.5,848
238,10104,22989,8.7,490
46,-96756,22655,29,729
432,101069,21615,20,474
194,-20973,20793,36.5,1089
35,-109680,20655,29.6,1169
105,-62677,19974,39.8,698
318,47261,19832,14,1635
291,35888,19752,8.6,456
184,-24768,19696,41.2,1093
203,-17186,19669,23.9,1223
56,-92261,19247,22.3,429
247,16178,18554,5.9,919
231,4803,18534,14.2,1157
447,111743,18469,17.5,728
413,89751,18097,28.4,1281
69,-83936,18012,33,431
84,-75594,17901,33.4,435
26,-118084,17479,23.4,1097
217,-7332,17425,16.6,912
453,114798,17415,20.5,854
304,45012,16479,10.6,698
235,6322,16312,7.1,1775
243,13152,15211,3.2,458
441,105735,15023,24,514
42,-103712,14987,22.5,578
323,50350,13186,16.2,1126
359,63265,12196,19.9,886
171,-28596,11929,42.9,814
78,-79475,11279,34.2,464
111,-56696,11018,43.4,606
388,76199,10123,27.1,983
23,-121276,9758,19.1,833
423,96720,9309,23,1275
91,-70390,8940,34.7,582
150,-39247,8654,51.7,697
271,29878,8600,5.9,1327
28,-116742,8555,18.3,1152
202,-17218,8550,18.5,946
339,56485,6568,19,1612
117,-50660,6516,43.4,525
210,-11145,6311,14.5,946
234,6333,6304,5.7,565
65,-85629,5803,28.9,555
353,61816,5509,24.7,1585
464,131778,4419,12.1,1429
310,46624,4259,17.1,1422
288,35222,4181,3.3,459
79,-78818,3485,38.2,597
195,-20275,3000,25.1,890
434,103672,2753,17,631
24,-120674,1960,19.4,579
458,125007,937,9.2,2418
416,94583,378,29.8,604
401,84694,230,22,1085
15,-129848,-72,21,1115
445,109815,-474,7.2,1358
54,-93332,-754,32.2,471
104,-62900,-1152,39.3,808
460,128096,-1222,6.7,1720
130,-45400,-1310,19.2,551
249,18515,-1454,6,1024
224,254,-1483,5.3,775
475,161600,-1523,0,1192
53,-93350,-1866,30.1,489
380,72550,-2154,22.1,1217
114,-52257,-2366,40.6,783
19,-125353,-3505,21.7,627
160,-33999,-3610,22.3,929
236,8627,-3700,9,1322
30,-115480,-4816,10.7,433
223,-508,-4818,7.2,866
452,115226,-4821,12.6,1656
462,130476,-5620,10,1871
17,-127684,-5680,23.4,663
420,95450,-6281,31.3,634
77,-79712,-6511,49.3,673
396,79458,-6515,24.1,775
300,41380,-6899,27,1079
469,145757,-7492,0.8,1512
112,-54591,-7906,35.1,1160
20,-124685,-7968,10,482
144,-41642,-8010,20,567
92,-69838,-8859,41.5,973
370,67298,-8888,34.3,1156
358,62727,-8938,28.7,858
22,-123184,-9111,7.9,437
216,-8127,-9261,6.8,586
122,-49277,-10175,22.1,700
246,13971,-10362,7.1,1220
32,-113301,-10418,23,585
38,-108729,-10503,30,770
99,-66815,-11118,40.5,953
227,1778,-11490,7.3,618
440,106209,-11660,18.6,1633
14,-136211,-12166,25.5,961
457,122236,-12467,8.2,2022
470,146655,-13031,0.6,1489
387,76497,-13226,26.9,902
327,52863,-13481,17.1,1108
21,-124038,-13542,12,440
25,-119464,-13635,13.3,602
39,-108027,-13852,27.8,810
422,97099,-14039,13.2,836
52,-93540,-14096,32.4,785
147,-40170,-15803,14.3,626
190,-22628,-15895,8.2,568
449,113152,-15982,17,1144
408,87981,-16404,21.8,1620
12,-143939,-16435,22.8,1106
306,46026,-16873,20.9,1364
454,116224,-17036,18.4,1597
442,107070,-17206,19,929
41,-104273,-17256,37.1,615
473,154392,-17287,0.5,1863
154,-37133,-18047,14.2,690
277,32301,-18075,12.9,1091
474,160524,-18238,2.9,2078
71,-83690,-18690,58.5,753
377,71226,-18851,25.4,1606
125,-47061,-19089,19.8,724
237,9412,-19266,14,1274
86,-74547,-19922,39,1121
285,34603,-20286,26.2,1926
262,25443,-20332,18.5,1816
27,-117307,-20351,21.4,642
455,120891,-21392,1,1433
109,-59304,-22317,17.4,1279
282,33088,-22518,14.9,2122
213,-8908,-22603,14.1,1348
33,-111242,-22691,29,849
389,77388,-23223,34.8,1358
476,172891,-23457,1.5,1993
18,-126536,-23500,11,541
8,-148708,-24105,19,1024
76,-80712,-24291,40.7,811
97,-67728,-24452,28.3,1186
444,109500,-24948,19,1450
198,-19610,-25914,9.4,1217
419,95768,-26294,9.4,1157
149,-39481,-26928,9.7,779
159,-34132,-26960,14.5,1001
205,-15792,-27037,11.8,1941
50,-94512,-27426,43.2,943
379,72860,-27727,28.5,2065
241,12486,-29268,14.8,1909
6,-153432,-29548,26.3,1276
193,-21153,-30356,12.3,884
407,88193,-30859,27.6,1570
63,-87683,-30866,15.4,1503
13,-140463,-30977,15.1,691
108,-60921,-31197,12.1,961
461,131057,-32302,1.6,1719
29,-116780,-32596,33.4,525
245,14022,-32601,6.2,1379
344,59158,-33438,45.2,966
16,-128276,-33474,21,380
281,33150,-33638,34.5,1312
425,98187,-34040,12.9,2177
48,-96147,-34073,38.3,841
392,78296,-34332,28.3,1916
293,39277,-34713,34.6,996
31,-114528,-34864,37.1,376
37,-109172,-34963,39.4,784
11,-145922,-35296,14.9,850
123,-48722,-35756,11.9,1857
239,10969,-35943,17.9,1356
36,-109192,-36075,39.4,548
463,132684,-36715,3.9,1927
153,-38015,-36945,12.1,1185
126,-46443,-37998,14.1,1406
81,-78609,-38776,26.4,981
317,47728,-39100,35.9,751
448,113592,-39330,9.6,2019
1,-159812,-39393,21.5,1240
44,-101596,-39544,32.3,412
391,78368,-39891,26.1,1669
436,105188,-40595,6.5,2141
51,-93956,-40780,41.5,997
465,138143,-41041,4,2081
118,-50299,-41303,13.5,1657
3,-158368,-42768,27.1,1359
47,-97055,-42955,29.7,370
95,-68707,-43345,13.1,1097
456,122870,-43597,9.9,2230
101,-64887,-44499,10.4,1276
459,126724,-44629,3.6,3053
466,142077,-45399,1.8,2332
7,-153090,-46242,14.9,511
9,-148491,-46357,18.7,431
176,-27345,-47010,3.7,1985
75,-81792,-47630,26.8,1551
221,-2045,-48184,3.4,1267
397,81551,-48745,25.7,780
220,-2812,-49296,2,1456
451,114546,-49321,13.1,1646
467,143715,-49810,3,1669
96,-68015,-50025,16.5,1453
143,-41935,-50262,5.2,1393
68,-84906,-50923,21.3,1123
226,1790,-51520,7.8,1751
468,145302,-51996,2,1058
350,61646,-52317,50.3,1119
82,-78030,-53240,18,1179
435,105420,-53936,5.8,819
320,49386,-54654,27.8,1172
49,-95716,-55210,25.5,383
139,-42749,-56929,5.5,577
280,33278,-56988,40.2,413
260,24830,-57029,35.4,1597
208,-13567,-57065,3,725
115,-51974,-57968,9.9,1226
383,74004,-58851,16.4,2075
183,-25096,-59252,1.7,831
121,-49688,-60211,4.7,546
471,150921,-61870,5.5,1188
