Year,A1B,A1T,A1FI,A2,B1,B2,A1p,A2p,B1p,B2p,IS92a,IS92a/SAR
1970,325,325,325,325,325,325,325,325,325,325,325,326
1980,337,337,337,337,337,337,337,337,337,337,337,338
1990,353,353,353,353,353,353,353,353,353,353,353,354
2000,369,369,369,369,369,369,369,369,369,369,369,372
2010,391,389,389,390,388,388,393,391,388,390,390,393
2020,420,412,417,417,412,408,425,419,409,414,415,418
2030,454,440,455,451,437,429,461,453,429,438,444,446
2040,491,471,504,490,463,453,499,492,450,462,475,476
2050,532,501,567,532,488,478,538,535,472,486,508,509
2060,572,528,638,580,509,504,577,583,497,512,543,544
2070,611,550,716,635,525,531,615,637,522,539,582,580
2080,649,567,799,698,537,559,652,699,544,567,623,620
2090,685,577,885,771,545,589,685,771,563,597,670,664
2100,717,582,970,856,549,621,715,856,578,630,723,715
