"Latitude","Longitude","tjan","tfeb","tmar","tapr","tmay","tjun","tjul","taug","tsep","toct","tnov","tdec","pjan","pfeb","pmar","papr","pmay","pjun","pjul","paug","psep","poct","pnov","pdec","tave","tmax","tmin","gdd0","gdd5","mtco","mtwa","annp"
50.874,-107.933,-13.9,-10.8,-4.4,4.6,11.6,16.3,18.8,18,11.9,5.8,-4.3,-11.7,17,13,16,18,41,60,56,34,29,13,12,17,3.49,41,-48,2592.2,1588.3,-13.9,18.8,326
67.833,-115.317,-29.5,-29.6,-26.9,-17.7,-5.8,4.2,9.8,8.2,2.4,-6.9,-20.3,-25.9,10,8,11,12,15,17,30,38,28,25,14,12,-11.5,27.5,-49.1,691.1,214.3,-29.6,9.8,220
55.267,-105.267,-21.3,-17.3,-9.7,0.9,8.6,14.2,16.8,15.3,9.3,2.5,-9.1,-18.4,21,16,20,27,40,78,84,61,59,36,32,25,-0.68,34.8,-48.2,2028.5,1147.3,-21.3,16.8,499
64.717,-100.467,-32.7,-31.7,-27.6,-17.1,-5.5,4.6,10.3,8.5,1.8,-7.4,-20.3,-27.8,7,5,9,11,13,22,38,36,33,25,12,9,-12.08,27.7,-50.2,713.8,240.2,-32.7,10.3,220
62.633,-101.233,-31.9,-30.5,-25.9,-14.9,-3.8,6.1,11.9,10.1,3.1,-5.9,-18.8,-26.8,10,6,12,15,18,29,49,41,44,33,16,12,-10.61,28.2,-51.2,891,367.6,-31.9,11.9,285
61.583,-103.483,-30.6,-27.7,-22.3,-10.3,0.1,8.5,13.1,11.4,4.4,-3.7,-16.6,-25.4,15,10,16,18,21,38,56,51,43,33,23,17,-8.26,28.8,-50.4,1117.7,514.3,-30.6,13.1,341
63.033,-100.75,-32.2,-31,-26.7,-15.8,-4.7,5.3,11.3,9.6,2.6,-6.5,-19.4,-27.2,9,6,12,15,17,28,47,41,43,33,16,11,-11.23,27.4,-51.4,817.9,316.8,-32.2,11.3,278
41.721,-102.509,-4.2,-1.4,2.5,8.3,13.9,19.6,23.3,21.9,16.3,9.9,2,-3.2,9,10,25,46,83,79,67,48,36,22,14,11,9.08,42.6,-37.7,3568.5,2345,-4.2,23.3,450
64.633,-138.4,-29.8,-26.5,-17.6,-6.8,3,9.5,12,9,2.1,-8.3,-21.5,-27.3,17,18,16,16,15,50,55,49,24,16,20,20,-8.52,34.1,-59.9,1033.6,430.3,-29.8,12,316
45.918,-120.881,-1.7,1,3.5,6.2,10,14.3,17.5,17.4,13.2,7.9,2.3,-1.4,109,69,61,37,28,22,10,17,22,46,91,110,7.52,41.2,-34,2831.1,1546.1,-1.7,17.5,622
44.299,-110.261,-10.9,-8.8,-5.9,-0.6,4.9,9.9,14.1,13.2,8.2,3,-4.1,-9.3,49,37,39,41,49,50,34,35,38,33,40,44,1.14,35,-44.5,1598.5,758.7,-10.9,14.1,489
59.25,-114.15,-23.9,-20.1,-13.7,-2.2,6.5,12,14.4,12.7,6.4,-0.1,-12.5,-20.7,26,20,22,19,34,50,67,52,38,27,33,24,-3.43,32,-56.8,1566.2,792,-23.9,14.4,412
62.05,-118.7,-27.3,-23.8,-17.9,-5.2,4.8,11.5,14.2,11.8,5.4,-3.2,-16.5,-24.3,23,20,23,19,25,38,51,43,26,22,27,26,-5.88,33.6,-62.7,1392.2,694.3,-27.3,14.2,343
65.217,-126.117,-28.1,-26.5,-20.2,-8.2,3.7,12.2,14.4,11.6,4.6,-5.9,-20.1,-25.6,20,17,15,16,19,43,55,52,29,27,21,19,-7.34,34.1,-59.1,1346,690.2,-28.1,14.4,333
57.45,-120.667,-17.5,-13.8,-8.5,1.6,7.8,12,13.8,12.1,7.3,1.5,-10.5,-15.4,25,21,24,20,42,69,82,61,35,24,25,23,-0.8,33.2,-56.2,1678.1,813.1,-17.5,13.8,451
56.717,-119.717,-18.8,-14.1,-9.3,0.9,7.3,11.3,13.2,12,7.1,1.6,-10.1,-15.3,34,28,31,21,42,68,77,62,40,26,32,31,-1.18,32.5,-57.6,1602.3,751.1,-18.8,13.2,492
50.767,-114.6,-11,-7.4,-4.5,1.2,6.3,10.3,12.8,12.3,7.8,3.6,-4.4,-9.5,28,25,41,57,79,94,65,70,59,31,27,30,1.46,34.7,-49.8,1618.7,721.7,-11,12.8,606
59.517,-122.167,-22.4,-18.1,-11,0.4,8,13.3,15.3,13.4,7.6,-0.5,-14.5,-20.6,23,19,23,22,43,63,80,62,36,28,24,20,-2.43,33.6,-55.6,1763.6,944,-22.4,15.3,443
57.767,-112.1,-23.5,-18.4,-11,0.9,8.1,13.2,15.4,13.5,7.8,0.8,-10.8,-19.2,25,19,22,22,39,60,78,61,46,30,28,25,-1.93,32.9,-52.8,1805,958.4,-23.5,15.4,455
44.294,-107.011,-7.5,-5,-1.5,3.9,9.3,14.3,18.3,17.2,11.5,5.9,-1.6,-6.7,22,20,28,43,62,58,31,27,33,26,21,20,4.84,32.3,-49.5,2426.3,1399.5,-7.5,18.3,391
44.5,-107.466,-7.9,-4.9,-1,4.4,9.7,14.8,18.6,17.6,11.8,6,-1.5,-6.9,22,19,28,42,60,55,28,26,33,26,21,20,5.06,33,-50.1,2507.5,1464.8,-7.9,18.6,380
67.683,-155.033,-27.5,-27.8,-23.8,-14.3,-2.3,5.2,8.2,6.1,0.4,-10.1,-21.2,-25.6,18,17,18,14,9,27,47,52,19,15,18,15,-11.06,29.3,-50.2,581.2,122.6,-27.8,8.2,269
68.333,-146.483,-27.7,-27.8,-23.5,-14.3,-2.2,5.2,7.4,5.4,-0.2,-11.2,-21.5,-26.6,12,8,9,5,5,21,30,30,9,1,7,8,-11.42,31.8,-52.6,526.6,84.2,-27.8,7.4,145
68.133,-156.033,-26.8,-27.4,-23.7,-14.8,-2.9,4.6,7.7,5.8,0.4,-10.1,-20.5,-25.2,16,15,16,12,8,24,44,48,18,13,16,13,-11.08,28.5,-49.7,535.5,92.5,-27.4,7.7,243
66.917,-155.033,-26.8,-25.6,-20.1,-9.6,2.5,9.7,12,9.4,3.4,-7.5,-19.5,-24.6,16,15,15,13,10,26,45,54,26,24,20,15,-8.06,31.2,-52.6,1067.6,452.5,-26.8,12,279
66.967,-156.45,-25.9,-25.1,-20.3,-10.6,1.1,8.2,10.9,8.7,3,-7.8,-19,-24.1,16,16,16,14,10,25,46,53,24,19,19,14,-8.41,29.7,-50.6,929.4,347.6,-25.9,10.9,272
67.133,-153.9,-29.9,-28.8,-23.3,-12.2,0.4,7.9,9.7,6.7,0.2,-10.9,-23.4,-27.3,22,17,19,13,10,35,50,53,19,16,19,19,-10.91,29.8,-52.9,755.3,240.5,-29.9,9.7,292
67.933,-155.05,-28.7,-28.9,-24.8,-15.2,-2.9,4.7,7.4,5.1,-0.7,-11.5,-22.6,-26.8,20,17,19,13,9,29,47,50,16,12,17,16,-12.08,30,-51.3,492.2,71.9,-28.9,7.4,265
67.147,-153.65,-29.9,-28.6,-22.9,-11.7,1,8.5,10.3,7.1,0.5,-10.6,-23.2,-27.2,22,17,19,13,11,35,49,53,21,17,20,19,-10.56,29.7,-53.1,819.3,285.7,-29.9,10.3,296
67.067,-154.233,-28.1,-26.7,-21.1,-10.1,2.4,9.7,11.9,9,2.6,-8.4,-20.8,-25.4,18,15,16,13,11,29,46,54,25,25,20,16,-8.75,29.9,-52,1031,431.7,-28.1,11.9,288
67.433,-147.85,-26.6,-25.3,-19.8,-10,1.6,8.8,10.6,8.1,2.1,-9.4,-20.1,-25.7,13,9,10,6,8,27,37,38,16,6,11,12,-8.81,29,-54.5,909,334.7,-26.6,10.6,193
68.267,-145.217,-27.3,-27.7,-23.6,-14.5,-2.6,4.9,7.3,5.5,0.1,-10.8,-20.9,-26,11,7,7,4,5,19,27,27,11,2,6,7,-11.3,29.9,-60.2,519.6,78.3,-27.7,7.3,133
66.767,-157.217,-24.7,-24.1,-19.4,-10.2,1.3,8.4,11.2,9.2,3.6,-7.1,-18,-23.3,15,16,16,14,10,24,46,55,26,19,19,14,-7.76,30.5,-50.5,978.6,381.7,-24.7,11.2,274
